title,description,author,genre
Psychic,"Howarth knows what you'll do tomorrow. Janna touches your stuff to know you. Martel can kill you with one look. But worse than that - Alpha's psychic: whatever you do, don't let her into your head.",TS_Rose,Fantasy / Thriller
Teen Idle,"Sebastian slowly learns that even the most private and personal lives can go public, and when they do he soon realizes that even the best mapped plans can go horribly wrong.",Samuel J Crone,Drama / Romance
HOWLERS,"A pack of drunken teenagers unwittingly resurrect an ancient evil, it's owner, and her..um...pets. It's blood, murder, witchcraft and mayhem in the backwoods of Corden County, GA. Tasty stuff.......",arrlen blackwolf,Horror
Dancing Abyss,"“True, but you left out the part where I'd kick your butt when I caught you.” She answered. Mark laughed, flashing her a wink. “I let you catch me, I liked it.” He admitted.",Clara Cook,Romance / Fantasy
Cindercole: A Yaoi Story,"What if Cinderella was Cindercole, a 17 year-old boy living in Mississauga, Canada. What if the Prince was the most polite, formal transgender boy at school? This is their story.",Andrina LeBlanc,Romance
The Knell,"""To steal or not to steal?"" Well, hindsight really is twenty-twenty.",Marleigh John,Fantasy / Adventure
Control,Stalked by a man who claims she's a Controller - has the ability to control machines - Rebecca thinks her day can't get any worse. Until her apartment is attacked by a machine trying to kill her.,Laura Kinch,Scifi
Beta 12,"A virtual world, a brother who needs saving, a freckle-faced girl, a boy who doesn't exist, a lion master, a vengeful thief, a civil war, and some fancy armor. And of course, no way out.",Tenwyg,Scifi / Adventure
A Crack In The Rainbow,Advertising is the best fun you can have with clothes on. Until the venal world of corrupt politicians rams it. Two rivals for the top job at Plexus Advertising get sucked into a fight to the death.,ND Badrinath,Thriller / Action
The Guardians of Kernsville,He saw the darkness in her beauty. She saw the beauty in his darkness.,Nightwing27th,Action / Drama
Weight of Fate,"For her, failing in love was difficult. Staying in love was easy. Staying apart; she couldn’t live with that. That, she must handle and fast.",KasimmaOkani,Thriller / Romance
Rosetta Rainbow and the Arts of Magic,"It is unheard of for a person to learn all the arts of magic. So when Rosetta Rainbow arrives on Island Waterlou, a dark force takes advantage and threatens the future of wizards and witches forever.",Paperboy Jacky,Fantasy / Adventure
Centurion: From Glory to Glory,"Gaius spent a lifetime fighting for the glory of Rome, and what he was taught as a child was tarnished by the harsh reality of life. Gaius hardened his heart and became the consummate Roman Soldier.",Dr. Paul Perkins,Adventure / Drama
Stolen Key,"“Yea, I have from the beginning of you recarnating life to now that I have told you in your previous lives.” He leaned toward me, as if to kiss me, “Your gorgeously sexy previous lives.”",Stephanie Eastwood,Romance / Adventure
Empire Volcano “The princess who donated her kingdom” Saga 1,"Suellenny is a beautiful princess who, was persuaded to donate the Empire to its uncle. She discovers a conspiracy and hires a warrior to rescue the kingdom. They fall in love.",Vidânia Macossa,Romance / Adventure
A Sleepless Dream,"A gripping account of indulgence, addiction and sacrifice. One man’s battle with demons darker than anything imaginable.",RachelSikkema,Other / Drama
Six Realms,"When highborn Aurel is kidnapped and sold into slavery with his newfound love, he finds himself the catalyst of a century-old rivalry, and soon learns that there's more than two sides to war...",Meaninglessblah,Fantasy / Adventure
Against the Moon,"To be given a mate is a blessing, an honor bestowed upon us by the goddess of the moon which governs our world, and the changes of our bodies.",Amelia H. Vale,Fantasy / Romance
Love Bleeds In War,"In a world filled with anger, betrayal, and hate, would anyone be able to accept anything different?",Heather Lang,Fantasy / Romance
The Monkey King: A Journey to a State of Presence,"Love lust, passion and twisted fates. All is left to be discovered in this illustrious romance horror novel.",Amira Kidd,Horror / Romance
"What's Right, For Both of Us","Brandon is someone who is unsure of what he's looking for in life, but all that changes when he encounters Belle, a girl who is different from him in all possible definitions of the word.",Krian Strawhat Ikki,Romance / Humor
Ambloome Princess of Giants,"Giantesses, romance and parallel dimensions are all to be found in Ambloome Princess of Giants.",agrader,Fantasy / Romance
Shadows of a Sundered Soul,"The Fires Fade as elemental worlds converge. A Cursed Warrior, haunted by ghosts and desperate for redemption, searches for a Hero to rekindle the ashes.",Greg Loui,Fantasy / Adventure
The Result of a Change,The scientist smiled knowingly thinking everything would go well. Little did he know the world will change in a matter of a few days.,Eman Nabil Al Adl,Scifi / Action
THE HOUR,"Time had her way with life for a long while. She lured living beings into her confidence, making them see hope in her wisdom until they hung on her every say, and then she changed her mind.",Frederika Menezes,Fantasy / Drama
A CHRISTMAS DUET,For generations Men have tried to master the language of love. The art of love is indoctrinated in hearts that crave. For many have died without being on its receiving end.,Shobana Gomes,Romance / Poetry
Eden's Apple,"The taste of sin renders all defenseless against lust. The brutally gripping tale of love, understanding and self sacrifice.",PamelaBlake,Drama / Other
